name,address,city,state,postal_code
"Wildflower Bread Company","4290 E Indian School Rd",Phoenix,AZ,85018
"Mojo Yogurt","2502 Camelback Rd",Phoenix,AZ,85016
"Rock and Roll Patio","8510 N 7th St",Phoenix,AZ,85020
"Haldi Indian Cuisine","2945 E Bell Rd",Phoenix,AZ,85032
"Edelweiss German Deli","13439 N Cave Creek Rd",Phoenix,AZ,85022
IHOP,"2508 N Central Ave",Phoenix,AZ,85004
Rotana,"830 E Greenway Pkwy",Phoenix,AZ,85022
"Flavor Chalet","14 E Pierce St",Phoenix,AZ,85004
"Dairy Queen","34455 N 27th Dr, Ste 101",Phoenix,AZ,85085
Cheddatruck,"2121 W McDowell",Phoenix,AZ,85014
"Ni De Aqui Ni De Alla","114 W Adams St",Phoenix,AZ,85001
"Stacy's Smoke Dem Bones Pit Stop BBQ","1650 E Indian School Rd",Phoenix,AZ,85016
"Pei Wei Asian Diner","Phx Sky Harbor Airport",Phoenix,AZ,85034
"The Cheesecake Factory","2402 East Camelback, Space 101",Phoenix,AZ,85016
"Paz Cantina","1011 N 3rd St",Phoenix,AZ,85004
"Santisi Brothers","2710 W Bell Rd, Ste 1115",Phoenix,AZ,85053
"Spice Restaurant","2532 W Peoria Ave",Phoenix,AZ,85029
"5 & Diner","12802 N Tatum Blvd",Phoenix,AZ,85032
"Asian Dining Chinese Restaurant","5030 E McDowell Rd",Phoenix,AZ,85008
"Hard Rock Cafe","3 S. 2nd Street",Phoenix,AZ,85004
"Carl's Jr.","2750 W Thomas Rd",Phoenix,AZ,85017
Melt,"910 N 5th St",Phoenix,AZ,85004
"Chronic Tacos","3121 W Peoria Ave, Ste 104",Phoenix,AZ,85029
"Miracle Mile Delicatessen","4433 N 16th St",Phoenix,AZ,85016
"The Grill Next Door","4345 E Thomas Rd",Phoenix,AZ,85073
"Knock Kneed Lobster","3202 E Washington St",Phoenix,AZ,85034
"George's Kitchen","6102 N 16th St, Ste 1",Phoenix,AZ,85016
Subway,"3230 E Union Hills Dr, Ste B-125, Union Centre Shoppes",Phoenix,AZ,85050
"Pita Jungle","4921 E Ray Rd, Ste B2",Phoenix,AZ,85044
Subway,"4747 E Elliot Rd, Ste 33",Phoenix,AZ,85044
"OUTTA BRONX","4105 E McDowell Rd",Phoenix,AZ,85005
"The Downtown Deli","130 N Central Ave",Phoenix,AZ,85004
"Red Robin Gourmet Burgers","10214 N Metro Pkwy W",Phoenix,AZ,85051
"Sunshine and Spice","2303 N 44th St",Phoenix,AZ,85008
"Acacia Cafe","3701 E Indian School Rd",Phoenix,AZ,85018
"Ketzal Mexican Grill","2815 W Carefree Hwy, Ste 101",Phoenix,AZ,85073
"The Shops at Norterra","2460 W Happy Valley Rd",Phoenix,AZ,85085
"Nee House Chinese Restaurant","13843 N Tatum Blvd, Ste 15",Phoenix,AZ,85032
"The Coffee Bean & Tea Leaf","20235 N Cave Creek Rd, Ste 1115",Phoenix,AZ,85024
"Dairy Queen","9641 N Metro Pkwy W",Phoenix,AZ,85051
"Detroit Coney Grill","16 W Adams St",Phoenix,AZ,85003
"Burger Mania","2302 W Bell Rd",Phoenix,AZ,85023
Secreto,"4232 E Chandler Blvd, Ste 24",Phoenix,AZ,85048
"Los Dos Molinos","8646 S Central Ave",Phoenix,AZ,85042
"Gigi's Cupcakes of Phoenix","3925 E. Camelback Road",Phoenix,AZ,85018
"Urban Vine","2201 N 7th St",Phoenix,AZ,85006
"Olive & Ivy","3400 E Sky Harbor Blvd, Ste 3300",Phoenix,AZ,85034
"Gluten Free Creations","10880 N 32nd St, Ste 39",Phoenix,AZ,85028
"Rainbow Donuts","8714 N 7th St",Phoenix,AZ,85020
Blimpie,"3443 North Central Ave, Ste 10",Phoenix,AZ,85012
"Balkan Bakery","1107 E Bell Rd, Ste 16",Phoenix,AZ,85022
"The Tamale Store","13046 N Cave Creek Rd",Phoenix,AZ,85022
"Angelo's Italian Ice and Gelato","1548 E Cocopah St",Phoenix,AZ,85034
